"SKName","tDate","Institute","交易類別","金額"
"臺股現貨","2015-01-26","融資","買","7027127.0"
"臺股現貨","2015-01-14","融資","賣","6639106.0"
"臺股現貨","2015-01-15","融資","賣","7410942.0"
"臺股現貨","2015-01-16","融資","賣","8588970.0"
"臺股現貨","2015-01-19","融資","賣","8490191.0"
"臺股現貨","2015-01-20","融資","賣","6975392.0"
"臺股現貨","2015-01-21","融資","賣","8012022.0"
"臺股現貨","2015-01-22","融資","賣","8065544.0"
"臺股現貨","2015-01-23","融資","賣","9598195.0"
"臺股現貨","2015-01-26","融資","賣","6628525.0"
"臺股現貨","2015-01-14","融資","增減","1338458.0"
"臺股現貨","2015-01-15","融資","增減","691433.0"
"臺股現貨","2015-01-16","融資","增減","432836.0"
"臺股現貨","2015-01-19","融資","增減","-1492641.0"
"臺股現貨","2015-01-20","融資","增減","115582.0"
"臺股現貨","2015-01-21","融資","增減","-530100.0"
"臺股現貨","2015-01-22","融資","增減","-215525.0"
"臺股現貨","2015-01-23","融資","增減","-578376.0"
"臺股現貨","2015-01-26","融資","增減","398602.0"
"臺股現貨","2015-01-14","融券","買","26948.0"
"臺股現貨","2015-01-15","融券","買","33004.0"
"臺股現貨","2015-01-16","融券","買","49921.0"
"臺股現貨","2015-01-19","融券","買","39288.0"
"臺股現貨","2015-01-20","融券","買","32911.0"
"臺股現貨","2015-01-21","融券","買","40579.0"
"臺股現貨","2015-01-22","融券","買","34945.0"
"臺股現貨","2015-01-23","融券","買","26324.0"
"臺股現貨","2015-01-26","融券","買","29470.0"
"臺股現貨","2015-01-14","融券","賣","30815.0"
"臺股現貨","2015-01-15","融券","賣","26437.0"
"臺股現貨","2015-01-16","融券","賣","37209.0"
"臺股現貨","2015-01-19","融券","賣","42027.0"
"臺股現貨","2015-01-20","融券","賣","38780.0"
"臺股現貨","2015-01-21","融券","賣","45842.0"
"臺股現貨","2015-01-22","融券","賣","42603.0"
"臺股現貨","2015-01-23","融券","賣","33017.0"
"臺股現貨","2015-01-26","融券","賣","38722.0"
"臺股現貨","2015-01-14","融券","增減","-3867.0"
"臺股現貨","2015-01-15","融券","增減","6567.0"
"臺股現貨","2015-01-16","融券","增減","12712.0"
"臺股現貨","2015-01-19","融券","增減","-2739.0"
"臺股現貨","2015-01-20","融券","增減","-5869.0"
"臺股現貨","2015-01-21","融券","增減","-5263.0"
"臺股現貨","2015-01-22","融券","增減","-7658.0"
"臺股現貨","2015-01-23","融券","增減","-6693.0"
"臺股現貨","2015-01-26","融券","增減","-9252.0"
"臺股期貨","2015-01-14","外資及陸資","買","25622.0"
"臺股期貨","2015-01-14","投信","買","133.0"
"臺股期貨","2015-01-14","自營商","買","24918.0"
"臺股期貨","2015-01-15","外資及陸資","買","26663.0"
"臺股期貨","2015-01-15","投信","買","188.0"
"臺股期貨","2015-01-15","自營商","買","22123.0"
"臺股期貨","2015-01-16","外資及陸資","買","48187.0"
"臺股期貨","2015-01-16","投信","買","460.0"
"臺股期貨","2015-01-16","自營商","買","33794.0"
"臺股期貨","2015-01-19","外資及陸資","買","56293.0"
"臺股期貨","2015-01-19","投信","買","1030.0"
"臺股期貨","2015-01-19","自營商","買","26931.0"
"臺股期貨","2015-01-20","外資及陸資","買","48713.0"
"臺股期貨","2015-01-20","投信","買","1148.0"
"臺股期貨","2015-01-20","自營商","買","24171.0"
"臺股期貨","2015-01-21","外資及陸資","買","36649.0"
"臺股期貨","2015-01-21","投信","買","1095.0"
"臺股期貨","2015-01-21","自營商","買","26869.0"
"臺股期貨","2015-01-22","外資及陸資","買","25407.0"
"臺股期貨","2015-01-22","投信","買","276.0"
"臺股期貨","2015-01-22","自營商","買","16568.0"
"臺股期貨","2015-01-23","外資及陸資","買","23112.0"
"臺股期貨","2015-01-23","投信","買","255.0"
"臺股期貨","2015-01-23","自營商","買","14567.0"
"臺股期貨","2015-01-26","外資及陸資","買","19512.0"
"臺股期貨","2015-01-26","投信","買","43.0"
"臺股期貨","2015-01-26","自營商","買","11373.0"
"臺股期貨","2015-01-14","外資及陸資","賣","30864.0"
"臺股期貨","2015-01-14","投信","賣","478.0"
"臺股期貨","2015-01-14","自營商","賣","25951.0"
"臺股期貨","2015-01-15","外資及陸資","賣","25701.0"
"臺股期貨","2015-01-15","投信","賣","187.0"
"臺股期貨","2015-01-15","自營商","賣","20220.0"
"臺股期貨","2015-01-16","外資及陸資","賣","49015.0"
"臺股期貨","2015-01-16","投信","賣","435.0"
"臺股期貨","2015-01-16","自營商","賣","33969.0"
"臺股期貨","2015-01-19","外資及陸資","賣","54936.0"
"臺股期貨","2015-01-19","投信","賣","951.0"
"臺股期貨","2015-01-19","自營商","賣","25652.0"
"臺股期貨","2015-01-20","外資及陸資","賣","43947.0"
"臺股期貨","2015-01-20","投信","賣","1171.0"
"臺股期貨","2015-01-20","自營商","賣","26474.0"
"臺股期貨","2015-01-21","外資及陸資","賣","34147.0"
"臺股期貨","2015-01-21","投信","賣","1019.0"
"臺股期貨","2015-01-21","自營商","賣","25740.0"
"臺股期貨","2015-01-22","外資及陸資","賣","24144.0"
"臺股期貨","2015-01-22","投信","賣","282.0"
"臺股期貨","2015-01-22","自營商","賣","15971.0"
"臺股期貨","2015-01-23","外資及陸資","賣","21036.0"
"臺股期貨","2015-01-23","投信","賣","155.0"
"臺股期貨","2015-01-23","自營商","賣","16292.0"
"臺股期貨","2015-01-26","外資及陸資","賣","18094.0"
"臺股期貨","2015-01-26","投信","賣","85.0"
"臺股期貨","2015-01-26","自營商","賣","9899.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易人","買","28058.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易人","買","28424.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易人","買","24773.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易人","買","16090.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易人","買","15059.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易人","買","26471.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易人","買","28870.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易人","買","30075.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易人","買","32196.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易人","賣","28878.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易人","賣","28894.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易人","賣","25064.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易人","賣","16862.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易人","賣","15793.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易人","賣","22108.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易人","賣","21370.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易人","賣","21990.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易人","賣","22523.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易特定法人","買","25074.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易特定法人","買","27289.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易特定法人","買","21521.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易特定法人","買","15079.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易特定法人","買","14333.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易特定法人","買","26471.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易特定法人","買","28870.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易特定法人","買","30075.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易特定法人","買","32196.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易特定法人","賣","21164.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易特定法人","賣","22866.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易特定法人","賣","20564.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易特定法人","賣","11500.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易特定法人","賣","8066.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易特定法人","賣","21231.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易特定法人","賣","20220.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易特定法人","賣","19418.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易特定法人","賣","21045.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易非特定法人","買","2984.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易非特定法人","買","1135.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易非特定法人","買","3252.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易非特定法人","買","1011.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易非特定法人","買","726.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易非特定法人","買","0.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易非特定法人","買","0.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易非特定法人","買","0.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易非特定法人","買","0.0"
"臺股期貨(TX+MTX/4)","2015-01-14","前十大交易非特定法人","賣","7714.0"
"臺股期貨(TX+MTX/4)","2015-01-15","前十大交易非特定法人","賣","6028.0"
"臺股期貨(TX+MTX/4)","2015-01-16","前十大交易非特定法人","賣","4500.0"
"臺股期貨(TX+MTX/4)","2015-01-19","前十大交易非特定法人","賣","5362.0"
"臺股期貨(TX+MTX/4)","2015-01-20","前十大交易非特定法人","賣","7727.0"
"臺股期貨(TX+MTX/4)","2015-01-21","前十大交易非特定法人","賣","877.0"
"臺股期貨(TX+MTX/4)","2015-01-22","前十大交易非特定法人","賣","1150.0"
"臺股期貨(TX+MTX/4)","2015-01-23","前十大交易非特定法人","賣","2572.0"
"臺股期貨(TX+MTX/4)","2015-01-26","前十大交易非特定法人","賣","1478.0"
"臺指選擇權CALL","2015-01-14","外資及陸資","買","120455.0"
"臺指選擇權CALL","2015-01-14","投信","買","0.0"
"臺指選擇權CALL","2015-01-14","自營商","買","105967.0"
"臺指選擇權CALL","2015-01-15","外資及陸資","買","123988.0"
"臺指選擇權CALL","2015-01-15","投信","買","0.0"
"臺指選擇權CALL","2015-01-15","自營商","買","122436.0"
"臺指選擇權CALL","2015-01-16","外資及陸資","買","126090.0"
"臺指選擇權CALL","2015-01-16","投信","買","0.0"
"臺指選擇權CALL","2015-01-16","自營商","買","119916.0"
"臺指選擇權CALL","2015-01-19","外資及陸資","買","128161.0"
"臺指選擇權CALL","2015-01-19","投信","買","0.0"
"臺指選擇權CALL","2015-01-19","自營商","買","130269.0"
"臺指選擇權CALL","2015-01-20","外資及陸資","買","135091.0"
"臺指選擇權CALL","2015-01-20","投信","買","45.0"
"臺指選擇權CALL","2015-01-20","自營商","買","142344.0"
"臺指選擇權CALL","2015-01-21","外資及陸資","買","92073.0"
"臺指選擇權CALL","2015-01-21","投信","買","0.0"
"臺指選擇權CALL","2015-01-21","自營商","買","67958.0"
"臺指選擇權CALL","2015-01-22","外資及陸資","買","108592.0"
"臺指選擇權CALL","2015-01-22","投信","買","0.0"
"臺指選擇權CALL","2015-01-22","自營商","買","100025.0"
"臺指選擇權CALL","2015-01-23","外資及陸資","買","127656.0"
"臺指選擇權CALL","2015-01-23","投信","買","0.0"
"臺指選擇權CALL","2015-01-23","自營商","買","115262.0"
"臺指選擇權CALL","2015-01-26","外資及陸資","買","131075.0"
"臺指選擇權CALL","2015-01-26","投信","買","0.0"
"臺指選擇權CALL","2015-01-26","自營商","買","114265.0"
"臺指選擇權CALL","2015-01-14","外資及陸資","賣","36244.0"
"臺指選擇權CALL","2015-01-14","投信","賣","800.0"
"臺指選擇權CALL","2015-01-14","自營商","賣","98436.0"
"臺指選擇權CALL","2015-01-15","外資及陸資","賣","37515.0"
"臺指選擇權CALL","2015-01-15","投信","賣","800.0"
"臺指選擇權CALL","2015-01-15","自營商","賣","112684.0"
"臺指選擇權CALL","2015-01-16","外資及陸資","賣","42016.0"
"臺指選擇權CALL","2015-01-16","投信","賣","800.0"
"臺指選擇權CALL","2015-01-16","自營商","賣","119936.0"
"臺指選擇權CALL","2015-01-19","外資及陸資","賣","40505.0"
